include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,119,NA,NA,NA,NA,NA,Fresh,Male,11,12.3,NA,NA,0.00210,0.00256,12.3,11,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,120,NA,NA,NA,NA,NA,Fresh,Male,13,14.0,NA,NA,0.00400,0.00447,14.0,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,121,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,10.2,NA,0.00240,0.00286,10.2,9,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,122,NA,NA,NA,NA,NA,Fresh,Juv,3,4.8,NA,NA,0.00007,0.00053,4.8,3,"pooled (avg of 4.8,4.8,4.9 mm)",
TRUE,LW,TRUE,FALSE,Kate,NA,123,NA,NA,NA,NA,NA,Fresh,Fem,13,14.6,NA,NA,0.00590,0.00637,14.6,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,124,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.0,NA,0.00720,0.00767,13.0,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,125,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.5,NA,0.01010,0.01057,14.5,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,126,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.9,NA,0.00900,0.00946,13.9,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,127,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,16.7,NA,0.01350,0.01397,16.7,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,128,NA,NA,NA,NA,NA,8SBF,Grav,NA,NA,14.0,NA,0.00900,0.00947,14.0,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,129,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.3,NA,0.00990,0.01037,14.3,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,130,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.0,NA,0.00790,0.00837,13.0,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,131,NA,NA,NA,NA,NA,Fresh,Fem,15,15.1,NA,NA,0.00610,0.00656,15.1,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,132,NA,NA,NA,NA,NA,Fresh,Fem,15,15.1,NA,NA,0.00670,0.00716,15.1,15,NA
